Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
5;-0.114658;-3.092696;-1.202589;0.53515;-0.135698;1.24203;-1.189538;0.85896;-2.048032;0.074585;0.370882;0.546714;0.463478;0.714789;-1.677643;0.502083;0.206774;1.048265;0.363866;1.301896;0.316902;-1.03043;0.130776;0.280709;-0.161268;-0.588313;0.794405;0.576859;350.58;0
8;1.786619;-0.971334;1.935952;0.787916;1.172676;-0.063393;1.497688;-1.555069;-0.021025;-0.023365;-0.264792;0.084793;0.126385;0.924817;-0.251343;-1.199774;0.46408;0.126616;0.104719;-0.009075;-0.942995;-0.784962;-0.27565;-0.034169;-0.399577;0.697651;0.313928;-0.103527;64.85;0
17;-0.254605;1.20104;-0.42864;-1.22495;0.179107;-0.152911;-2.507546;0.075075;1.533318;-0.088239;-0.505431;1.450766;1.352993;1.072024;-0.241542;1.176207;-0.510338;-0.671758;-0.144919;1.722406;0.613028;-0.05231;-0.540962;-1.511682;-0.349105;-0.260847;-0.138528;0.380055;29.16;0
17;1.574636;0.635701;0.601071;-0.044345;0.589621;2.788263;0.717633;-0.436559;0.342162;0.749726;0.551818;-0.949945;-0.808823;-0.18552;-0.643984;0.377566;-2.309402;0.667802;0.206086;-0.493051;0.349694;-0.167064;0.25127;-0.036606;-0.016866;0.552072;-0.569502;-0.235699;7.58;0
22;-2.435775;-1.474015;0.795516;2.272461;0.951935;1.888187;0.767612;1.867736;0.497127;-0.49066;0.237132;0.282078;1.07249;-1.275568;-0.725452;-1.25769;1.064267;-0.813643;-0.347918;-0.253099;-0.325525;0.096668;0.1629;-1.248529;0.067027;-0.70214;0.499952;-0.01484;32.83;0
22;-2.67108;-1.536351;-0.654284;0.032342;1.213008;1.480356;-1.184959;0.579145;0.876351;1.834021;2.475163;-1.321372;-0.764871;0.208325;-0.198345;0.258913;-0.030969;0.008962;-0.022092;0.19676;-0.023608;-0.069011;-0.153943;0.326669;-0.116258;-0.703926;0.145112;-0.121977;67.92;0
24;-2.844278;0.579399;-0.870233;0.622335;1.726647;-0.715653;-1.908555;-0.83967;0.193484;1.544496;-0.051875;-1.461645;-0.556744;0.148201;-1.679259;1.296545;1.063191;-0.471671;0.053874;0.595856;-0.260863;0.488629;-1.190271;-1.669654;-0.854327;0.092626;-0.74045;0.092533;1.5;0
26;0.148128;2.694047;-1.241731;-0.832436;1.600474;-1.617537;3.372777;1.886243;0.480138;-0.930701;-0.507092;0.806216;-0.278617;0.121437;-0.02103;-0.757684;0.895034;0.55563;-0.579866;0.441709;0.477562;0.298145;-0.131029;-0.129607;-0.348651;0.249096;0.193904;-0.104423;12.04;0
28;-3.392156;-2.200161;1.035574;-2.261197;1.322873;-1.214441;0.288465;2.317902;0.296333;0.999065;-1.154599;0.526849;0.237167;0.132907;0.75755;-1.696794;-0.39233;0.15876;0.050692;0.864521;-1.31055;-0.85106;0.291903;0.4677;-1.238008;0.040842;-0.273657;0.101352;34.2;0
30;-1.451837;-0.1417;0.218882;0.480861;-0.177278;0.354547;-1.278704;0.771574;0.851424;0.045286;0.91567;0.238592;-0.400092;-0.410929;1.085518;-0.45192;-1.266369;-0.541359;0.385021;0.983669;-0.855543;-0.055568;0.657485;0.584366;-0.384863;-0.20568;0.86944;-0.026767;16.17;0
31;0.382221;-2.054082;1.30978;-0.630911;-0.25816;-0.628425;-0.232255;-1.26132;0.791805;-0.815053;0.797366;-0.672009;-1.881601;0.037439;-1.541937;0.565746;1.08079;-0.294191;-1.293986;1.445729;0.364552;0.207225;-0.353935;0.194135;0.740951;0.318196;0.521418;-0.22162;377.45;0
31;-2.759099;0.30991;2.092784;3.13384;1.971663;1.953971;1.590002;-0.156988;0.865542;1.494742;-0.716588;0.894464;0.395087;-0.615532;-1.142936;0.653723;-0.386665;-1.848448;1.581311;0.597573;0.659484;0.414201;-0.474963;0.28522;-0.755696;-0.033629;-0.150675;-0.583731;3.64;0
38;2.978116;-1.04077;0.211216;0.601922;0.806118;-2.440698;0.002352;-0.655062;-2.34194;0.102261;0.509944;0.056365;1.205701;-0.041882;1.089608;0.659967;0.072375;-1.494468;0.017035;0.013892;-0.282436;0.724918;-0.07339;-0.659793;0.263204;-0.068016;-0.246073;0.10186;1.61;0
45;0.500221;1.607591;1.127587;-0.748266;0.381063;-0.426027;-0.158608;2.949626;0.333992;0.853645;0.469883;-2.759436;-0.923365;0.54692;0.008572;0.501742;-0.902089;1.314867;-0.795565;1.267814;-1.275283;1.415882;-0.167521;-0.807652;0.077819;0.893314;0.253321;0.316008;678.44;0
47;0.521117;-3.296658;-0.328697;-0.222016;1.450726;-1.29317;2.115791;-1.170213;-1.058099;-0.928477;-0.238015;-0.881159;0.207149;0.814429;1.146721;-0.039458;0.823252;1.460351;-0.286306;-0.704287;0.041215;0.682066;0.329478;-0.951557;-0.170919;-0.134748;-0.699357;0.099086;27.16;0
47;2.277678;-1.500812;-0.214746;-1.56096;0.626685;1.340348;0.053968;1.108615;0.325435;-0.03335;-0.180288;-0.599331;0.281926;-1.110323;-0.026645;1.102261;-0.580003;-1.91012;-0.524843;-0.652562;0.998934;0.645631;0.591958;-0.661396;-0.35115;0.250452;0.072249;-0.665932;8.34;0
48;-2.816602;-2.163814;1.737233;1.638987;2.559051;1.082587;1.201226;1.059903;-0.909415;-0.16614;1.516209;-0.075488;0.757105;0.344817;-0.605865;0.19796;-0.186599;0.420973;-0.844409;1.327951;-0.574138;0.442087;0.594245;0.506565;-0.173485;0.023113;-0.062379;-0.334993;168.55;0
