Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount;Class
800;2.727733;-3.491174;0.87043;-0.353345;4.040489;-0.37448;-0.43485;0.496571;0.302085;2.040872;0.722268;1.163041;-0.131891;-0.597624;-1.547817;0.322381;-0.910584;0.122936;0.202077;-0.375076;-0.282541;0.089617;0.341823;-0.585446;0.277977;-0.380696;0.023383;-0.21199;1.13;0
854;-0.967149;-0.075684;2.696636;-2.276426;1.145646;1.189691;1.126138;2.09496;0.406663;0.899568;-0.228471;0.280185;-1.161821;0.841614;-0.515692;0.298329;-1.050426;-0.551793;0.276599;-0.882287;0.668634;-0.382892;0.817647;0.72211;0.019649;-0.730114;0.005994;-0.238786;11.89;0
875;-0.199456;1.712888;-1.824929;-0.049141;-0.358904;2.679675;1.037712;1.906446;0.199174;-1.228936;1.573836;-0.460244;0.607556;0.755916;0.399997;0.299926;1.03991;-0.757052;-1.691194;0.443012;0.750902;0.592594;0.294824;-0.766663;0.469746;-0.451752;-0.680234;0.02542;36.19;0
954;-0.718643;-0.439517;1.639017;-0.474832;-0.307593;-1.382326;-0.190476;-1.39852;1.125857;-1.442081;-0.299589;-0.114037;0.081858;-0.489468;-0.344613;0.884954;-1.512971;-1.635278;-1.104048;0.207033;0.566547;-0.129373;0.129807;-0.078454;0.62111;-0.07836;0.425491;-0.086391;179.32;0
995;0.888507;-1.915696;1.548459;0.893704;-0.290892;0.758743;-1.74128;-0.153147;-1.003544;1.33144;-0.533234;0.368515;-0.063973;0.339976;-0.556409;-0.657149;0.520165;1.576682;0.931642;-0.741248;-0.391177;-0.754195;-0.283889;-0.900986;-0.160327;0.680507;0.293217;-0.481934;16.75;0
1103;-1.119173;-1.31473;-2.51941;0.199648;2.589251;2.661307;0.005738;1.045477;-1.150772;-0.997048;1.520917;0.188427;0.285507;-0.985534;-0.060495;1.163867;-0.608722;-0.921644;0.049861;0.117869;-1.054378;-1.268126;0.307717;0.709158;0.290257;-0.237505;0.017093;-0.331182;32.14;0
1201;0.060486;-0.94979;-0.426208;1.967662;1.289998;0.888529;1.400194;-1.071698;1.097378;0.761391;-0.568375;0.60127;-1.444994;-0.159496;-0.255112;-1.400339;0.870427;-1.530138;-1.543737;0.385685;1.551043;1.033494;-0.452407;0.948051;0.199682;-0.714451;-0.211774;0.354882;5.84;0
1589;-2.47892;-1.517417;-0.140859;0.169526;-0.561779;-0.983329;1.006512;-1.815992;2.273956;0.235995;0.237089;1.646856;1.314626;-0.402409;0.677499;0.592463;-0.382978;1.423499;0.058518;-0.294134;-0.222255;0.090659;0.115282;-0.726489;0.419289;0.006389;0.544056;0.147952;3.32;0
1688;2.201097;-0.534363;-2.42553;-0.728332;-1.659565;0.337755;2.11071;-0.854643;0.876852;1.527384;-0.561025;-1.01627;-0.528862;0.904506;-1.217348;0.157629;0.006639;0.026092;-1.281536;0.297626;0.723173;0.060132;-0.145146;0.197805;0.170347;0.598681;-0.406316;-0.008903;289.48;0
1873;1.237945;2.339268;-0.39465;0.15193;1.700624;1.841945;-0.618096;-0.087047;1.377529;0.645847;0.962579;0.752772;-0.389767;0.454329;0.469085;-0.837361;0.424943;-0.104196;-0.474368;0.013644;-0.349209;-0.031534;-0.619188;-0.180458;0.137321;-0.002182;0.391645;0.412576;2.15;0
1900;-0.639907;-1.303441;1.338507;1.098317;1.207198;-1.330969;0.956333;-4.786878;-0.132325;0.056669;1.342817;-0.096226;0.800436;-0.639025;-0.051986;0.915611;1.058661;0.259894;0.195399;-0.159104;1.521406;0.876984;0.956376;0.312362;-0.314284;0.098845;-0.347449;-0.020353;1088.91;0
1962;-0.984841;-1.113676;-0.570294;-2.447955;1.024792;-0.020029;-1.257797;-1.275529;0.242727;2.336758;-0.668019;1.141119;0.556784;-0.543434;0.385193;-1.585893;-0.510288;0.365978;0.196569;-0.729196;-0.373757;0.102676;-0.617387;0.961585;0.106933;-0.013251;0.526542;0.233141;98.27;0
2008;1.187025;0.52542;0.385621;-0.945653;-0.065567;-0.303832;0.239964;-2.066457;0.227922;0.98734;0.577266;1.619391;1.888908;-0.017888;-1.274083;1.440196;-0.550142;0.179112;0.805552;0.163269;0.063422;1.114582;-0.254243;0.235103;-0.176657;-0.103176;0.185837;-0.012188;91.83;0
2100;-1.449222;-0.572439;0.396549;-0.915731;-0.363472;-0.819777;1.360711;1.41454;-0.110969;0.694658;0.67194;0.204161;-0.956566;-0.144835;0.793572;1.995997;0.419776;-1.265675;0.36687;-1.587009;1.685072;0.10498;-0.992646;-0.467;-0.555892;1.176093;0.358049;0.019948;78.51;0
2247;0.174462;-2.56949;0.001663;0.653606;2.375608;0.341268;1.113966;1.15846;1.502427;-0.654041;0.148725;0.6246;-0.930143;-0.258343;0.484167;-0.133616;-1.384823;-1.330784;0.417903;1.117339;-1.176774;-1.925789;-0.114137;-0.421176;0.155995;0.643679;0.084829;1.036644;22.67;0
2263;2.194728;-0.375856;-1.044825;0.818747;2.504012;-0.113954;0.117811;0.381491;1.177432;-1.159841;1.576103;1.213904;-1.178035;-0.327877;1.512619;-0.894392;-1.497082;-0.612338;-0.318991;0.924195;0.870517;0.912155;0.258816;-0.215878;-0.531693;0.918216;0.178785;-0.229088;59.63;0
2487;-1.651951;-0.441082;1.014809;0.213743;0.933372;0.875656;-0.342385;0.169014;-0.489158;-0.19282;1.568387;0.998257;0.098182;1.33402;-0.767791;-0.498409;0.295594;-0.428487;-0.698823;-0.778872;-0.028453;0.226995;-0.572157;-0.44392;-0.02237;1.413513;0.012488;0.181757;24.94;0
2513;0.648772;1.417924;-2.376421;-3.449666;1.38838;1.537489;-1.24359;0.69832;-1.860135;-1.543719;-0.849698;1.254203;-0.289756;-0.423843;-0.542328;0.868101;0.555527;-0.302425;0.029627;-1.097961;0.50659;-0.364969;-1.137801;0.463738;-0.190473;0.630358;-0.406611;0.174668;75.91;0
2671;0.545664;-1.951824;0.032968;-2.275724;0.375815;-1.672864;-0.289959;-1.138019;-0.119932;-0.260955;1.252831;-0.285103;-0.697487;0.297982;-1.633606;-0.27369;0.267086;0.191993;0.816275;0.910304;-0.264042;-0.184838;-0.242515;0.51572;-0.292425;-0.230642;0.437659;0.379489;31.48;0
2866;-0.259807;1.429413;2.112084;-0.269283;-1.84058;0.109816;-1.634653;1.540938;-1.320117;0.963039;0.536748;-0.501714;-0.093046;2.335762;-0.759474;-2.573232;-0.103997;-0.234837;0.659113;-0.117914;1.184305;-0.221576;-0.107152;0.768374;0.73077;0.432648;-0.106375;-0.02393;7.96;0
3089;-1.05239;-0.439247;-0.655534;-0.642087;-1.302045;-0.050658;-0.435561;0.160695;-0.023957;1.160151;0.268888;-1.114812;-1.020856;-0.802629;1.295217;0.347416;-0.483065;-0.571785;-0.172896;0.056075;-0.602699;-0.8939;-0.155816;-0.259103;0.851909;0.936489;0.03902;0.660364;8.97;0
